"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1915461760418799957","Thu Apr 24 17:44:05 +0000 2025","1","suara jaehyun tuh tipe suara yg pengen km dengerin kalo cape pulang kerja kalo lagi ngerasa dunia ga adil kalo lagi pengen sekali aja istirahat tanpa takut ketinggalan. dengernya nenangin anget... ngeti ga siii","1915461760418799957","","","in","","0","1","0","https://x.com/undefined/status/1915461760418799957","1356203486728380416",
"1915452391199281259","Thu Apr 24 17:06:52 +0000 2025","0","LUCU BANGET NGELIAT KALIAN PADA TAKUT TIDURRR ALIAS TAKUT KETINGGALAN SPILLAN DAR DER DOR WAKAKAK","1915452391199281259","","","in","","0","0","0","https://x.com/undefined/status/1915452391199281259","1909634362112692224",
"1915436413882864068","Thu Apr 24 16:08:49 +0000 2025","0","@catchingdoie yaampun kak aku auto liat jam takut ketinggalan makasih dah bikin twt ini","1915437786108449070","","catchingdoie","in","","0","1","0","https://x.com/undefined/status/1915437786108449070","1578447234261078016",
"1915434996837605794","Thu Apr 24 15:57:44 +0000 2025","0","mau bobo tp takut ketinggalan sesuatu nanti","1915434996837605794","","","in","","0","0","0","https://x.com/undefined/status/1915434996837605794","1753344810197659649",
"1915434646609043775","Thu Apr 24 15:56:23 +0000 2025","0","takut ketinggalan","1915434656281092339","","majikanginting","in","","0","1","0","https://x.com/undefined/status/1915434656281092339","1556879084621549568",
"1915430452011426253","Thu Apr 24 15:39:41 +0000 2025","0","okey siap beberapa hari kedepan ga boleh tidur dulu sblm jam 10 wkwkwkw takut ketinggalan updatean ","1915430452011426253","","","in","","0","0","0","https://x.com/undefined/status/1915430452011426253","1845630628978675712",
"1915429350385869268","Thu Apr 24 15:35:18 +0000 2025","2","Lagian sekelas Wamen marah2 dan nyuruh2nya kok ke CS Ibarat raport anak u ditahan ama sekolah terus u marah2 ama satpam sekolahnya tapi kalo demi konten ya wajar","1915429350385869268","","","in","","0","1","1","https://x.com/undefined/status/1915429350385869268","3231247320",
"1915428131386909085","Thu Apr 24 15:30:28 +0000 2025","0","ada org ngerjain skripsi selalu di cafe demi konten doang ada HERANNN‍","1915428131386909085","","","in","","0","2","0","https://x.com/undefined/status/1915428131386909085","1012664590839136256",
"1915419221569515632","Thu Apr 24 14:55:03 +0000 2025","0","Upload foto survei ada beberapa yg reply 'itu tugas apa?' 'hah ada tugas?'. Tadi upload lagi bikin materi buat dasar juga pada reply 'ada tugas?' 'tugas apa pat?'. Ini udah ditahap anak gizi smt genap pada anxiety sm tugas kah jir takut ketinggalan atau lupa ","1915419221569515632","","","in","","0","2","0","https://x.com/undefined/status/1915419221569515632","1616092657918545921",
"1915411579010769398","Thu Apr 24 14:28:40 +0000 2025","0","@jaeminshii__ Sumpah kaga tau ini juga dari moots aku makanya aku nanya. takut ketinggalan berita","1915412581520646521","","jaeminshii__","in","","0","1","0","https://x.com/undefined/status/1915412581520646521","1724299557369241600",
