"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1915374944457724347","Thu Apr 24 12:31:21 +0000 2025","8","@unicelounge Minta buru takut ketinggalan kereta diajak ngebut pas turun malah ndredek Pernah nganter ke kos cowok malah pacarnya selingkuh ‍ Pernah nganter orang mau bundir tpi tdk mati alhasil sekarat kesakitan di RS Pernah nungguin orang keracunan makanan di RS smpe subuh ","1915383055373787561","","unicelounge","in","Semarang, Jawa Tengah","0","1","0","https://x.com/EviIndriyanii/status/1915383055373787561","1793987737848266752","EviIndriyanii"
"1915373242841210965","Thu Apr 24 11:52:21 +0000 2025","3","takut ketinggalan ngder soalnya twt indo ditinggal sebentar aja udah rame","1915373242841210965","","","in","mugikawa town; 怪物 (2023)","0","1","0","https://x.com/postm0rt3m/status/1915373242841210965","1014254563203825664","postm0rt3m"
"1914165197209743774","Thu Apr 24 11:37:51 +0000 2025","0","@seuligie biar kekinian gitu gak sih kak? wkwkwkwk. bener mending turu biar bisa melawan dunia (kapan-kapan).","1915369591770927501","","seuligie","in","Flora.","0","0","0","https://x.com/wooyound/status/1915369591770927501","1964540905","wooyound"
"1915361756731646331","Thu Apr 24 11:06:43 +0000 2025","0","Hari ini jalanan macet ngt anjritttrr takut ketinggalan travellll babikkk","1915361756731646331","","","in","","0","0","0","https://x.com/browniekimmy/status/1915361756731646331","2800833554","browniekimmy"
"1915318993344397321","Thu Apr 24 11:01:14 +0000 2025","0","@nekodolkki kk han ud post katalog blm yah takut ketinggalan (apa beneran ketinggalan)","1915360378248130609","","nekodolkki","in","🏳️‍🌈 20↑ | READ FIRST:","0","1","0","https://x.com/asteroem/status/1915360378248130609","1574951562","asteroem"
"1915349349644820898","Thu Apr 24 10:49:05 +0000 2025","0","@NIRATMAKA demi konten buat uas","1915357322505052329","","NIRATMAKA","in","🇵🇸","0","1","0","https://x.com/celinehoshi/status/1915357322505052329","1352807004432076800","celinehoshi"
"1915355920097567111","Thu Apr 24 10:43:31 +0000 2025","1","adalah gue saat mendarat di bandara manapun. takut ketinggalan ingpo kejadian di darat selama gue di langit","1915355920097567111","","","in","d6eaj","0","0","0","https://x.com/mkkayp/status/1915355920097567111","1045695731087040512","mkkayp"
"1915292505576530231","Thu Apr 24 10:31:00 +0000 2025","0","@magnoworks @Mdy_Asmara1701 @DediMulyadi71 Ya klo @DediMulyadi71 memang berpihak ke rakyat terutama jabar dan berniat memakmurkan rakyat jabar ya harus berani demi rakyat bukan demi konten/demi @prabowo /demi partai/ demi Ormas dll. Dari sini rakyat Jabar bisa melihat sebenarnya @DediMulyadi71 berpihak kesiapa?","1915352768174600250","","magnoworks","in","Lelaki yg mencari_Mu","0","2","0","https://x.com/kipyiksamgong/status/1915352768174600250","985730749209788416","kipyiksamgong"
"1915350472073925031","Thu Apr 24 10:21:52 +0000 2025","0","Mo mandi tp takut ketinggalan kalo 1st win poppop","1915350472073925031","","","in","06L","0","0","0","https://x.com/hiyushion/status/1915350472073925031","1331855680324599810","hiyushion"
"1915307123074101484","Thu Apr 24 10:04:18 +0000 2025","0","@pacarcheetah Aku drop lagi uname ku yaah ini terlalu lucu takut ketinggalan @blcksrrs","1915346049117700119","","pacarcheetah","in","","0","0","0","https://x.com/blcksrrs/status/1915346049117700119","1801264076968095744","blcksrrs"
"1915035203573256605","Thu Apr 24 09:39:48 +0000 2025","4","@cursedkidd bg wills ini bkn demi konten. tp demi adik gw yg tiap buka HP hrs pake sendok krn casingnya udah pensiun batre ngamuk layar ngeghosting. Pas ngegame fps-nya bkn frame per second tp frame per semester. gw udah janjiin HP pas ultah tp dompet gw jg ultah. isinya: harapan ","1915339886661599667","","cursedkidd","in","","0","1","0","https://x.com/sarrawattine/status/1915339886661599667","3269928080","sarrawattine"
"1915339680674890218","Thu Apr 24 09:38:59 +0000 2025","0","Ibu ayah aku exited banget bahkan sampe gabisa tidur nyuruh aku berangkat awal karena takut ketinggalan. Padahal aku nya santai aja. Maaf kalau hasilnya kurang memuaskan Maaf kalau aku anak yg bodoh. Aku tau susah banget ngerti materi bahkan kadang aku ketiduran kalau belajar","1915339680674890218","","","in","","0","0","0","https://x.com/freakyVickyGirl/status/1915339680674890218","1217445851942965248","freakyVickyGirl"
"1915336391464280558","Thu Apr 24 09:25:55 +0000 2025","0","Tadi nya sepanjang gua ketahan pipis takut ketinggalan jumpscare . ManusiaBerusaha IblisMemperdaya","1915336391464280558","","","in","Probolinggo","0","0","0","https://x.com/rayhanadityah/status/1915336391464280558","1686579011617775616","rayhanadityah"
"1915293754967429561","Thu Apr 24 09:23:40 +0000 2025","0","@PaceCrypto saya suka analisa kamu bang analisanya sangat membantu sekedar saran aja jangan terlalu rakus jika sudah untung jika sekiranya udah untung jual aja biar lebih aman karena masih banyak koin koin baru yang akan muncul jangan takut ketinggalan moment","1915335826739016178","","PaceCrypto","in","","0","0","0","https://x.com/awe_some007/status/1915335826739016178","954205248318353408","awe_some007"
"1915334502844682577","Thu Apr 24 09:18:25 +0000 2025","0","Opini sampah anjing.Demi konten lu dengan enteng bilang gini .Asli sakit hati gua baca ini kalo lu ngga pernah ngerasain mending diem deh. Banyak perempuan diluar sana dia survive menjalani hidup dengan banyak luka yang dipendam tapi bisa sukses dengan itu semua.","1915334502844682577","","","in","Semarang, Jawa Tengah","0","0","0","https://x.com/sun_shineee1/status/1915334502844682577","1806373239792537600","sun_shineee1"
"1915332369520959621","Thu Apr 24 09:09:56 +0000 2025","0","aku mau jajan... ayolah cepet kakxkaksbak takut ketinggalan","1915332369520959621","","","in","05-31","0","0","0","https://x.com/lushciouslyy/status/1915332369520959621","1811438791963656192","lushciouslyy"
"1914757218215584117","Thu Apr 24 09:09:12 +0000 2025","8","@iladasilfar KATA SIAPAAAA ANJING NGGA WORTH IT? MAJU LO SINI DEMI KONTEN LU NGEJATUHIN ORANG KEK GITU. ASAL LU TAU YA NGENTD NGGA SEMUA KEK GITU. GUA CURIGA WAKTU PEMBAGIAN OTAK SAMA EMPATI LU KAGA DATENG MAKANYA NGETIK LU ENTENG BANGET GINI","1915332185479143457","","iladasilfar","in","Semarang, Jawa Tengah","0","0","0","https://x.com/sun_shineee1/status/1915332185479143457","1806373239792537600","sun_shineee1"
"1915331476951859562","Thu Apr 24 09:06:23 +0000 2025","0","gua keringetan sepanjang tp gamau ngedip karena takut ketinggalan. ManusiaBerusaha IblisMemperdaya https://t.co/HXceuopZsQ","1915331476951859562","https://pbs.twimg.com/ext_tw_video_thumb/1915331407347687424/pu/img/Hdftx4ZSVmdwr2k3.jpg","","in","Semarang","0","0","0","https://x.com/SezaIdrus/status/1915331476951859562","1738122768934465536","SezaIdrus"
"1914757218215584117","Thu Apr 24 09:00:07 +0000 2025","1","@iladasilfar demi konten jatuhin org kek gini lu pikir keren begitu? malah kek bencong","1915329899050811716","","iladasilfar","in","Blitar, East Java","0","1","0","https://x.com/alviadevana/status/1915329899050811716","1267665576438063104","alviadevana"
"1915282099067883521","Thu Apr 24 08:38:21 +0000 2025","0","@kihyunsleman Gapapa banget! (imo) fangirling should be fun. Ga perlu dipaksakan ga perlu takut ketinggalan. Se-happy &amp; senyamannya aja gapapa banget kalo mau minggir dan lakuin hal lain pas lagi overwhelmed jadi WNI aja udah draining energy bgt wajar kalo capek","1915324422455791743","","kihyunsleman","in","","0","0","0","https://x.com/morethanbrown/status/1915324422455791743","1283027605193584641","morethanbrown"
"1915224872621604887","Thu Apr 24 07:56:04 +0000 2025","0","@sailorsaturnuz Demi konten segininya wak","1915313780571189522","","sailorsaturnuz","in","","0","0","0","https://x.com/Unclemage1/status/1915313780571189522","1694950296034889729","Unclemage1"
"1915283128299487491","Thu Apr 24 06:30:13 +0000 2025","0","Tapi ya demi konten ada aja yang coba. Dan yang coba sekarang jadi bijak dan suka review rumah sakit. https://t.co/MIxV4yalw2","1915292173689405715","","komisarisbumn","in","TimeLine","0","0","0","https://x.com/komisarisbumn/status/1915292173689405715","901133972","komisarisbumn"
"1915290816442147009","Thu Apr 24 06:24:49 +0000 2025","0","gini amat demi konten udah dpt berapa duit? nih gue tambahin biar makin luas jangkauannya. amit2 deh naudzubillah semoga ga ketemu cowo macam gini","1915290816442147009","","","in","Pemalang, Indonesia","0","0","0","https://x.com/Nanascantip/status/1915290816442147009","1069076092323946496","Nanascantip"
"1915279784659370103","Thu Apr 24 06:13:14 +0000 2025","0","@luxsuriver Jangan takut ketinggalan","1915287901522600399","","luxsuriver","in","handled by admin.","0","0","0","https://x.com/bhbaru/status/1915287901522600399","1375891798279655427","bhbaru"
"1914975851583791529","Thu Apr 24 05:27:25 +0000 2025","2","@himacokes @kegblgnunfaedh Nitip telor dulu. Takut ketinggalan ceritanya https://t.co/OUfmandzUF","1915276369820344615","https://pbs.twimg.com/media/GpRttRZbYAYRwZQ.jpg","himacokes","in","","0","0","0","https://x.com/Pacarenjuni/status/1915276369820344615","1681015740009418752","Pacarenjuni"
"1915272010118422702","Thu Apr 24 05:10:05 +0000 2025","0","Bisa aja sebenernya ikut riding the wave kesenjangan sosial tapi bedanya orang-orang cuma ngonten ya kalo kitamah yang mengalami wkwk. Gaperlu ngonten juga udah sehari-hari wkwkwk pas lewat di TL kadang pen nyeletuk Eh lu kan tajir ko pura-pura miskin demi konten ","1915272010118422702","","","in","Bandung, Indonesia","0","1","0","https://x.com/merapalriuh/status/1915272010118422702","715717477229928448","merapalriuh"
